name,specialization,city,experience,rating,phone,email,formattedAddress
"Dr Samrina Hashmi","Gynecologists","karachi",3,4.5,"03979-2028286","dr.samrina.hashmi184@diagnoai.com","Noor Hospital                Plot S.T. 11, block 19, Alnoor Society.  Federal B Area , karachi"
"Dr Jamsheer Talati","Urologists","karachi",19,4.4,"03454-7910940","dr.jamsheer.talati767@diagnoai.com","Aga Khan University Hospital                JHS Building 1st Floor, A.K.U.H., Stadium Road.  Stadium Road , karachi"
"Dr.Aslam Parvez","Skin Specialists | Dermatologists","Lahore",14,4.6,"03736-9055498","dr.aslam.parvez419@diagnoai.com","22-E Mushtaq Ahmed Gurmani Rd, Lahore.  Gurmani Rd , Lahore"
"Dr Mudasser Iqbal Dar","Cardiologists","karachi",22,3.9,"03427-9664470","dr.mudasser.iqbal.dar600@diagnoai.com","National Medical Centre                A-5/A, National Highway, Near Kala Pul, Korangi Road, Karachi.  DHA , karachi"
"Dr. Ihtasham Mohammad Chaudhary","General Surgeon","Rawalpindi",17,4,"03339-5070497","dr..ihtasham.mohammad.chaudhary937@diagnoai.com","Ahmad Medical Complex                Surgery Department. 70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi"
"Dr. Muhammad Haroon","Intensive Care","Islamabad",17,3.6,"03401-9882124","dr..muhammad.haroon359@diagnoai.com","Maxhealth hospital                 Main Road G8   G-8 markaz , Islamabad"
"DR Muhammad Qamar Mubir Sheikh","General Practitioner","NAZIR FATIMA CLINIC                  CHURCH ROAD",4,4,"03736-7044295","dr.muhammad.qamar.mubir.sheikh765@diagnoai.com","NAZIR FATIMA CLINIC                  CHURCH ROAD ,"
"Dr. Shahzad Riyaz","General Physician","Islamabad",16,4.8,"03441-7747418","dr..shahzad.riyaz486@diagnoai.com","Shifa International Hospital                  H-8 , Islamabad"
"Dr. Soban Sarwar Gondal","Neurosurgeon Consultant/Specialist","Rawalpindi",9,3.8,"03388-6069361","dr..soban.sarwar.gondal666@diagnoai.com","Jinnah Memorial Hospital                 2-A Civil lines, opposite punjab house, Rawalpindi  Rawalpindi , Rawalpindi"
"Dr. Abid Hussain","Dentist","Islamabad",17,4.2,"03908-8191724","dr..abid.hussain725@diagnoai.com","Dental Art                1st Floor Office # 1, Ghulam Rasool Plaza Opp. Excel Lab, Fazal-e-haq Road, Blue Area, Islamabad.   Blue Area , Islamabad"
"Dr. Zakir Ahmad","Skin Specialists | Dermatologists","Peshawar",16,4.3,"03404-3574219","dr..zakir.ahmad45@diagnoai.com","Khyber Medical Centre                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar"
"Dr. M Adeel Alam Shah","Family physician and Sonologist","Family polyclinic Faisalabad                 Sadder Bazaar mansoorabad Street no 1   Jhumra Road",20,3.5,"03424-2044512","dr..m.adeel.alam.shah503@diagnoai.com","Family polyclinic Faisalabad                 Sadder Bazaar mansoorabad Street no 1   Jhumra Road  ,"
"Dr Muhammad Ashraf Wahla","Child Specialist","Multan",12,3.7,"03787-3823890","dr.muhammad.ashraf.wahla620@diagnoai.com","Zeenat Javed Medical Complx Near Chungi no.6 Bosan Road Multan.  Chungi no.6  , Multan"
"Dr. Humaira Gilani","Skin Specialists | Dermatologists","Peshawar",13,4.8,"03407-1372547","dr..humaira.gilani285@diagnoai.com","Northwest General Hospital & Research Centre                Phase 5, Hayatabad, Peshawar (Near Passport Office).  Hayatabad , Peshawar"
"Dr. Nauman Bari Khan","Dentist","Rawalpindi",23,4.4,"03107-6089759","dr..nauman.bari.khan434@diagnoai.com","Clinic                The Dental Lounge  Gulrez Phase III , Rawalpindi"
"Dr. Farhan Saeed","General","Islamabad",9,4.6,"03651-3220120","dr..farhan.saeed346@diagnoai.com","Medicsi Hospital                 Saudi Pak Tower Blue Area Islamabad.  Blue Area , Islamabad"
"Dr. Masood Sohail","Skin Specialists | Dermatologists","Lahore",21,4,"03417-5066474","dr..masood.sohail649@diagnoai.com","Iqra Medical Complex                 Akbar Chowk , Johar Town, Lahore.  Johar Town , Lahore"
"Dr. Muhammad Akhtar Hunjra","Physiotherapist","Gujranwala",6,4.5,"03692-6617852","dr..muhammad.akhtar.hunjra778@diagnoai.com","Medcare Sports Injuries Clinic                    , Gujranwala"
"Dr. Khurram Kaleem","Dentist","Rawalpindi",19,4,"03692-8508146","dr..khurram.kaleem696@diagnoai.com","Khurram Dental Centre                Hourse # 317, Street # 14, Chaklala Scheme III, Rawalpindi.   , Rawalpindi"
"Dr Saeed Akhtar","Urologists","Islamabad",21,4.6,"03437-7230796","dr.saeed.akhtar760@diagnoai.com","Shifa International Hospital, Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad"
"Dr Muhammad Muneer Amanullah","Cardiologists","karachi",12,4.3,"03222-7286362","dr.muhammad.muneer.amanullah51@diagnoai.com","Aga Khan University Hospital                Consulting Clinic 5, CC Nazerali Walji-2, Karachi.  Stadium Road , karachi"
"Dr. Farrukh Aslam","Plastic & Aesthetic Surgeon","Lahore",12,4.4,"03996-5328553","dr..farrukh.aslam929@diagnoai.com","Laforma Plastic, Cosmetic and Hair Transplant Surgery                 Clinic, 41-B, Johar Town, Lahore.  Johar Town , Lahore"
"Dr Ashraf Yousuf","Cardiologists","karachi",14,4.7,"03246-7620041","dr.ashraf.yousuf826@diagnoai.com","National Medical Centre                A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA  , karachi"
"Dr. Muhammad Nabeel","Dentist","Islamabad",18,4.5,"03942-9187710","dr..muhammad.nabeel302@diagnoai.com","Capital Dental Clinic                F 4, First floor darbar arcade, near bank Alfalah,    , Islamabad"
"Dr. Tahir Javed","Dentist","Rawalpindi",23,4.8,"03873-7653180","dr..tahir.javed959@diagnoai.com","Specialist Dental Centre                Saidpur Road, Kali Tanki, Rawalpindi.  Kali Tanki , Rawalpindi"
"Assistant Professor of ENT Dr. Jawad Faisal Malik","ENT Specialist","Islamabad",3,3.9,"03360-7590500","assistant.professor.of.ent.dr..jawad.faisal.malik814@diagnoai.com","Medicsi 2                 Blue plaza.  Near PSO pump  Jinnah Super Market , Islamabad"
"Dr Tahir Saeed Haroon","Skin Specialists | Dermatologists","Lahore",18,4.6,"03317-6110568","dr.tahir.saeed.haroon477@diagnoai.com","Surgimed Hospital                Surgimed Hospital, 1 - Zafar Ali Road, Lahore.  Gulberg 5 , Lahore"
"Dr. Nasir Habib","Internal Medicine","Islamabad",17,4.8,"03382-7828835","dr..nasir.habib583@diagnoai.com","Khayaban Medical Centre                160 A , main Road Khayaban e Sirsyed , sector 1 , near Golden CNG  Khayaban e SirSyed , Islamabad"
"Dr. Ambreen","Orthopedics","karachi",4,3.5,"03478-8243714","dr..ambreen77@diagnoai.com","Aga Khan University Hospital                   , karachi"
"Dr. Muhammad Aslam Chaudhry","Dentist","Islamabad",13,4.3,"03677-8765030","dr..muhammad.aslam.chaudhry705@diagnoai.com","Afqad Dental Surgeons                Clinic 1128, Neelum Road, G-9/4, Islamabad.  G-9 , Islamabad"
"Dr. Shaukat Nawaz","General","Islamabad",21,4.4,"03319-7126027","dr..shaukat.nawaz573@diagnoai.com","Quaid i Azam Hospital                   , Islamabad"
"Dr. Sania Hafeez","Physiotherapist","Gujranwala",23,3.8,"03852-8436500","dr..sania.hafeez875@diagnoai.com","Medcare Physiotherapy and Sports injuries                 Gill road.  Medcare international hospital , Gujranwala"
"Dr. Huma Tasleem","Gynecologists","Islamabad",10,3.6,"03799-1247670","dr..huma.tasleem467@diagnoai.com","Shifa Medical Center                 Savoy Arcade (Next to Standard Chartered Bank),F-11 Markaz, Islamabad.  F-11  , Islamabad"
"Dr Akhter Hussain","Cardiologists","karachi",8,4.4,"03385-4667300","dr.akhter.hussain702@diagnoai.com","National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA  , karachi"
"Dr Muhammad Shahab","Dentist","Rawalpindi",6,4.4,"03993-8651459","dr.muhammad.shahab929@diagnoai.com","Wahab Dental And Medical Clinic                B-11/455, A Band Khanna Road, Muslim Town, Rawalpindi.  Muslim Town , Rawalpindi"
"Dr. Adnan Ghafoor Orakzai","Diabetologist","Rawalpindi",4,4.7,"03218-8756965","dr..adnan.ghafoor.orakzai650@diagnoai.com","Attock hospital                   Morgah , Rawalpindi"
"Romina","General Surgeon","N/A",7,4.2,"03436-1535815","romina317@diagnoai.com","N/A"
"Dr. Muhammad Usman Qaiser","Dentist","Rawalpindi",21,4.2,"03318-6932877","dr..muhammad.usman.qaiser866@diagnoai.com","Usman Dental Clinic                BM-34, Shop # 2, Commercial Market, Near Nadara Office, Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi"
"dr shoaib chachu","Child Specialist","N/A",14,4.6,"03490-9901419","dr.shoaib.chachu510@diagnoai.com","N/A"
"Dr. M. Zubair Alauddin.","General Physician","Lahore",5,4.4,"03575-6238442","dr..m..zubair.alauddin.548@diagnoai.com","Punjab cooperative housing society. Ghazi road. Lahore .   Punjab cooperative housing society , Lahore"
"Squadron Leader Dr Arfat Jawaid","ENT Specialist","karachi",20,4.5,"03934-7166964","squadron.leader.dr.arfat.jawaid725@diagnoai.com","PAF Hospital Faisal                Shahrah-e-Faisal, Karachi.   Shahrah-e-Faisal , karachi"
"Dr Nabila Saifi","Gynecologists","karachi",10,4.5,"03906-5631411","dr.nabila.saifi576@diagnoai.com","National Medical Center                 A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.    DHA , karachi"
"Dr. Shahzad Naseem","Pediatrician","Lahore",17,3.6,"03637-8317416","dr..shahzad.naseem257@diagnoai.com","sav-on medical center                    , Lahore"
"Dr. Asif Kamal","Skin Specialists | Dermatologists","Rawalpindi",11,4.7,"03239-9270378","dr..asif.kamal95@diagnoai.com","Maryam Memorial Hospital                Dermatology DepartmentPeshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi"
"Dr. Samina Farooq Abbasi","Dentist","Rawalpindi",9,5,"03949-6769054","dr..samina.farooq.abbasi655@diagnoai.com","Wab Dental Surgery                23-A, Railway Scheme III, Near Siddiqu Chowk, Airport Road, Rawalpindi.  Railway Scheme III , Rawalpindi"
"Dr. Inamullah","Skin Specialists | Dermatologists","Peshawar",6,4.6,"03943-2728378","dr..inamullah953@diagnoai.com","Habib Medical Complex                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar"
"Dr. Qazi Ahsan Azeem","ENT Specialist","Lahore",6,4.2,"03737-9981589","dr..qazi.ahsan.azeem206@diagnoai.com","Ittefaq Hospital                Near H- Block, Model Town, Lahore.  Model Town , Lahore"
"Dr. Riaz Ahmed Khokhar","General Surgeon","Rawalpindi",17,4.4,"03474-6880832","dr..riaz.ahmed.khokhar897@diagnoai.com","Khokhar Medical Centre                117- Khokhar Medical Center, Tippu Road, Rawalpindi.  Tippu Road , Rawalpindi"
"Dr. Chaudhary Mohammad Khalil","Skin Specialists | Dermatologists","Lahore",16,4,"03571-1851556","dr..chaudhary.mohammad.khalil674@diagnoai.com","Hamza Medical Centre                Hamza Medical CentreNear Khalid Medical Store Kot Khawaja Saeed Lahore   , Lahore"
"Dr. Raheel Ahmed","Dentist","Islamabad",21,4.2,"03851-4575409","dr..raheel.ahmed194@diagnoai.com","Raheel Dental Surgery                13th, Neelam Road, G-9/3, Islamabad.  G-9 , Islamabad"
"Dr. Shaukat Ali Sheikh","General Surgeon","Rawalpindi",21,4.5,"03480-1760402","dr..shaukat.ali.sheikh80@diagnoai.com","Ahmad Medical Complex                70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi"
"Dr. Asghar Janjua","Skin Specialists | Dermatologists","Sargodha",22,4.1,"03929-6291062","dr..asghar.janjua546@diagnoai.com","53 Gulshan Hayat Colony, Near D.H.Q. Hospital,  Sargodha.  Gulshan Hayat Colony , Sargodha"
"Dr. Qudsia Kanwal","Dentist","Rawalpindi",19,3.8,"03907-9034043","dr..qudsia.kanwal122@diagnoai.com","Margalla Dental Hospital                Operative Dentistry DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi"
"Dr. Manzoor ul Qayyum","Skin Specialists | Dermatologists","Lahore",3,4.4,"03396-5401094","dr..manzoor.ul.qayyum776@diagnoai.com","Office No. 1, Ground Floor, Chouburgi Centre, Near old Venus Cinema, Multan Road, Lahore.  Multan Road , Lahore"
"Dr. Shaukat Nawaz Khan","General Surgeon","Islamabad",23,4.6,"03540-2088309","dr..shaukat.nawaz.khan143@diagnoai.com","Quaid-e-Azam International Hospital                General SurgeryNear Golra Mor, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad"
"Maj Gen ( Retd) Prof. Jawad Khaliq Ansari","Pulmonologist","Rawalpindi",16,4,"03971-8464103","maj.gen...retd..prof..jawad.khaliq.ansari855@diagnoai.com","Shalimar Clinic                 First Floor, Rafey Mall, Chore Chowk, Peshawar Road, Rawalpindi   , Rawalpindi"
"Consultant  Dr. Vaqar Ilahi Paracha","Cardiac Surgeon","Rawalpindi",17,4.9,"03813-2116785","consultant..dr..vaqar.ilahi.paracha660@diagnoai.com","Armed Forces Institute of Cardiology                Peshawar Rd,  Rawalpindi.   Peshawar Rd , Rawalpindi"
"Dr. Mohammad Akmal Madni","Cardiologist","Multan",24,4.2,"03286-2788816","dr..mohammad.akmal.madni921@diagnoai.com","Multan Diabetes and Heart Clinic                 Nishtar Road    Al Khaliq Hospital  , Multan"
"Dr. Mazhar Hussain Raja","Pediatrician","Islamabad",10,4.4,"03122-3446265","dr..mazhar.hussain.raja974@diagnoai.com","Shifa International Hospital                 Pitras Bukhari Road, Islamabad.  Pitras Bukhari Rd , Islamabad"
"Dr. Shaukat Ali Shah","Anesthesiologist","Islamabad",15,3.6,"03193-2803209","dr..shaukat.ali.shah630@diagnoai.com","Maryam Hospital                Raja Haq Nawaz Plaza, G-11 Markaz, Islamabad.  G-11  , Islamabad"
"Dr. Ahmed Aziz Niazi","Dentist","Rawalpindi",17,4.9,"03518-1051665","dr..ahmed.aziz.niazi152@diagnoai.com","Niazi Dental Clinic                H-1380, Main Airport Road, Jhanda Chichi, Rawalpindi.  Jhanda Chichi , Rawalpindi"
"Prof. Shahid Javaid Akhtar","Skin Specialists | Dermatologists","Faisalabad",24,3.6,"03361-3839919","prof..shahid.javaid.akhtar140@diagnoai.com",", Faisalabad"
"Dr Abdul Fatah Dero","Diabetologists","Hyderabad",3,4.2,"03134-8800427","dr.abdul.fatah.dero805@diagnoai.com","Rehman Diabetic Clinic                546/2, Soldier Bazar, Saddar, Hyderabad.  Saddar , Hyderabad"
"Dr. Amanullah","Cardiologist/Physician","Lahore",18,4,"03347-7338231","dr..amanullah793@diagnoai.com","Maryam Diagnostic Centre                7B Shadman II, near PIC Hospital Parking, Jail Road   Jail Road , Lahore"
"Dr Amir M Ijaz","Cardiologists","Lahore",23,3.9,"03116-9239754","dr.amir.m.ijaz707@diagnoai.com","Naseer Hospital                 16-Ahmad Block New Garden Town Lahore.  New Garden Town , Lahore"
"Dr Shahid Masood Khan","ENT Specialist","Lahore",23,4.1,"03537-8566586","dr.shahid.masood.khan287@diagnoai.com","Ittefaq Hospital                 Near H- Block, Model Town, Lahore.  Model Town , Lahore"
"Dr. Salman Naseem Adil","Hematologist","karachi",15,3.8,"03370-5977684","dr..salman.naseem.adil529@diagnoai.com","The Aga Khan University Hospital                 CC Ibn-e-Zuhr -1 , A.K.U.H., Stadium Road Karachi.  Stadium Road , karachi"
"Dr. Habib Aslam Gaba","Cardiologists","Faisalabad",15,4.5,"03882-2579650","dr..habib.aslam.gaba281@diagnoai.com","Omer Heart Clinic                 864-B, Peoples Colony, Faisalabad.  Peoples Colony , Faisalabad"
"Dr. Aqsa Malik","Dentist","Islamabad",9,3.7,"03360-8114553","dr..aqsa.malik13@diagnoai.com","Quaid-e-Azam International Hospital                Dental DepartmentNear Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad"
"Muhammad Aslam Memon","Oncologist","Hyderabad",22,4.3,"03236-8642182","muhammad.aslam.memon76@diagnoai.com","Quaid-e-Azam Complex                Opposite Police Ground.  Saddar , Hyderabad"
"Dr Muhammad Zubair","Dentist","N/A",17,4.5,"03487-2877789","dr.muhammad.zubair629@diagnoai.com","N/A"
"Dr. Kiren Shaheryar","Skin Specialists | Dermatologists","Islamabad",12,4.5,"03182-8359788","dr..kiren.shaheryar926@diagnoai.com","Life Care Hospital                 Life Care Hospital. Islamabad   G-10 , Islamabad"
"Dr. Arsalan Farooq","Ophthalmologist","karachi",21,4.6,"03788-3082845","dr..arsalan.farooq723@diagnoai.com","Eye Clinic PAF Hospital Faisal Base                PAF Hospital Faisal   , karachi"
"Professor Dr Mohammad Zafar Rabbani","ENT Specialist","Islamabad.  H-8",15,4.6,"03795-4025072","professor.dr.mohammad.zafar.rabbani59@diagnoai.com","Shifa International Hospital                 Pitras Bukhari Road H-8/4, Islamabad.  H-8 ,"
"Dr. Sadia Bashir","Child Specialist","Rawalpindi",19,4.4,"03355-7778861","dr..sadia.bashir695@diagnoai.com","Begum Akhtar Rukhsana Memorial Welfare Trust                Bahria Town Phase - VIII, Rawalpindi.    Bahria Town Phase - VIII , Rawalpindi"
"Dr. Ammara Kashif","Obstetrics and gynaecology","Islamabad",5,4.8,"03143-5612433","dr..ammara.kashif904@diagnoai.com","Medics Islamabad                Saudi pak tower, blue area,  Islamabad.   F 7 Markaz , Islamabad"
"Dr Syed Muhammad Junaid Akhtar","Diabetologists","N/A",14,4,"03431-6661131","dr.syed.muhammad.junaid.akhtar233@diagnoai.com","N/A"
"Dr. Asma Iqbal","Gynecologists","karachi",16,4.1,"03647-5272616","dr..asma.iqbal194@diagnoai.com","Mamji Hospital                C-19, Block-17, Federal "B" Area, Near Water Pump Chowrangi, Karachi   Federal "B" Area , karachi"
"Dr. Zafira Syed","Physiotherapist","Rawalpindi",9,3.9,"03961-6285774","dr..zafira.syed874@diagnoai.com","Physiotherapy Centre                Saidpur Road, Haidri Chowk, Satellite Town, Rawalpindi.   , Rawalpindi"
"Dr Amir Shariff","General Surgeon","karachi",19,4.6,"03974-2821202","dr.amir.shariff325@diagnoai.com","The Aga Khan University                 Consulting Clinics (JHS Building -Second Floor), Karachi.    Stadium Road , karachi"
"Dr. Adil Abbas","Child Specialist","Sahiwal",12,3.5,"03704-7629140","dr..adil.abbas681@diagnoai.com","RiseNShine                   Mission chonk, Fateh Shere road  , Sahiwal"
"Dr. Afsheen Mansoor","Dentist","Islamabad",9,4.2,"03469-2423373","dr..afsheen.mansoor577@diagnoai.com","Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.   F-8 , Islamabad"
"Dr Rabia Ghafoor","Skin Specialists | Dermatologists","karachi",4,3.9,"03150-3446960","dr.rabia.ghafoor236@diagnoai.com","Dr. Ziauddin Hospital                4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi"
"Dr. Khadim Ullah Kheyal","Skin Specialists | Dermatologists","Peshawar",10,4.7,"03242-5918167","dr..khadim.ullah.kheyal299@diagnoai.com","Auqaf Plaza, Dabgari, Peshawar.  DABGARI  , Peshawar"
"Dr. Syed Hammad Hassan","Dentist","Rawalpindi",19,4.5,"03375-6524280","dr..syed.hammad.hassan144@diagnoai.com","Margalla Dental Hospital                Prosthodontics DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi"
"Dr. Tahir Hussain Dilawari","Cardiologists","Islamabad",17,4.7,"03230-1408212","dr..tahir.hussain.dilawari957@diagnoai.com","Shifa College of Medicine                Pitras Bokhari Road, H-8/4, Islamabad.  H-8 , Islamabad"
"Dr. Shoukat Jamal Amerzada","Skin Specialists | Dermatologists","Peshawar",21,4.9,"03963-7696845","dr..shoukat.jamal.amerzada215@diagnoai.com","Khyber Medical Centre                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar"
"Diabetologist  DR Shahid Hameed","Diabetologists","Lahore",4,3.6,"03174-9619174","diabetologist..dr.shahid.hameed587@diagnoai.com","Shalamar Hospital                 Shalimar Link Road.   MughalPura , Lahore"
"Dr. S. Abbas Raza","Diabetologists","karachi",19,4.6,"03739-6733079","dr..s..abbas.raza477@diagnoai.com","National Hospital & Medical Centre                132/3 , Street 123, Block L, Phase 1, DHA, Lahore.  DHA  , karachi"
"Dr Khurram Shahid","Diabetologists","karachi",21,4.9,"03229-6726106","dr.khurram.shahid274@diagnoai.com","National Medical Centre                A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA , karachi"
"ASSISTANT PROFESSOR DR ASHAR ALAMGIR","Allergy Specialist","N/A",10,3.7,"03798-4658655","assistant.professor.dr.ashar.alamgir315@diagnoai.com","N/A"
"Dr. Muhammad Haider","Dentist","Rawalpindi",18,3.8,"03489-4787704","dr..muhammad.haider281@diagnoai.com","Dr. Haider & Associates Dental Surgeon                43-S, Bank Road, Sadar, Rawalpindi.  Sadar , Rawalpindi"
"Dr. Masood Ahmed","Anesthesiologist","Rawalpindi",12,4.6,"03210-9841713","dr..masood.ahmed222@diagnoai.com","Rahat Hospital                Main Service Road, Shkriyal, Near Khana Pul, Rawalpindi.  Khana Pul , Rawalpindi"
"Dr. Haleema Hashmi","Gynecologists","karachi",14,3.8,"03100-9766242","dr..haleema.hashmi838@diagnoai.com","Liaquat National Hospital                National Stadium Road. Karachi.   Stadium Road , karachi"
"Dr Sobia Qamar","Pediatricians","karachi",24,4.5,"03932-6018441","dr.sobia.qamar247@diagnoai.com","Liaquat National Hospital                National Stadium Rd, Karachi   National Stadium Rd , karachi"
"Dr. Mujtaba Jaffary","Gastroenterology","Lahore",14,4.5,"03439-3024559","dr..mujtaba.jaffary618@diagnoai.com","Times Hospital                Opposite Jinnah hospital,146-A/GOR -5,Faisal town Lahore  Faisal Town , Lahore"
"Dr. Omar Anis","Hepatology gastroentrology","Islamabad",20,4.3,"03410-4626749","dr..omar.anis639@diagnoai.com","deen clinic                Behind F-10 main mosque   F-10 markaz, Areej Plaza.  , Islamabad"
"Dr Adeel Aslam","General Physician","Gujranwala",9,4,"03108-7155493","dr.adeel.aslam398@diagnoai.com","Mangowal, Karachi.  Mangowal , Gujranwala"
"Dr. Zeeshan Perwaiz","Skin Specialists | Dermatologists","Rawalpindi",18,4.4,"03594-4908603","dr..zeeshan.perwaiz929@diagnoai.com","Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi"
"Dr. M Shoaib Shafi","Gastroenrologist/Hepatologist","Rawalpindi",18,4.3,"03761-2161380","dr..m.shoaib.shafi281@diagnoai.com","Shafi Clinic                55-C Satellite Town Rawalpindi  Chandni Chowk , Rawalpindi"
"Dr Junaid Alam Ansari","Cardiologists","karachi",4,3.8,"03268-7370673","dr.junaid.alam.ansari905@diagnoai.com","South City Hospital                Shahrah-e-Firdousi, Block 3, Clifton, Karachi.  Clifton , karachi"
"Assistant Professor  Mohammad Majid paracha","Skin Specialists | Dermatologists","N/A",5,3.8,"03455-8601556","assistant.professor..mohammad.majid.paracha185@diagnoai.com","N/A"
"Dr. Imtiaz Hussain","Dentist","Islamabad",7,4,"03332-1108713","dr..imtiaz.hussain243@diagnoai.com","The Dental Centre                Shahnawaz Plaza, 1st Floor, Office # 3, Upper Al-Rehman Medicose, G-11 Markaz, Islamabad.  G-11 , Islamabad"
"Dr. Salman Saeed","Dentist","Rawalpindi",17,4.7,"03526-9597034","dr..salman.saeed829@diagnoai.com","Margalla Dental Hospital                Operative Dentistry Department, Quaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.   Gulrez Phase III , Rawalpindi"
"Dr. Mansoor Mahmood","Child Specialist","Islamabad",8,5,"03518-3398873","dr..mansoor.mahmood786@diagnoai.com","Maryam Hospital                Surgical Department Raja Haq Nawaz Plaza, G-11 Markaz, Islamabad.  G-11 Markaz , Islamabad"
"Dr Ahsan Hameed","Skin Specialists | Dermatologists","Islamabad",20,4.1,"03782-2524664","dr.ahsan.hameed974@diagnoai.com","Shifa International Hospital                Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad"
"Dr. Usman Rana","Dentist","Islamabad",6,4.9,"03213-7350887","dr..usman.rana880@diagnoai.com","Perfect Smile Dental Clinic                1A Plaza, Near Shell pertol pump. Opposite Fatima Jinnah Park, F-10 Markaz, Islamabad.  F-10 , Islamabad"
"Dr. Kaleem Ullah Thahim","ENT Specialist","karachi",15,3.7,"03358-9754988","dr..kaleem.ullah.thahim805@diagnoai.com","South City Hospital                Shahrah-e-Firdousi, Block 3, Clifton, Karachi.  Clifton , karachi"
"Dr. Javed Aslam","Dentist","Rawalpindi",18,4.1,"03321-9365028","dr..javed.aslam383@diagnoai.com","Bilal Hospital                Dental Department.38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi"
"Brig (R) Dr. Muzaffar Khan","Dentist","Rawalpindi",14,3.8,"03928-9943424","brig..r..dr..muzaffar.khan841@diagnoai.com","Nawaz Memorial Hospital                Morgah More G.T Road, Rawalpindi.  G.T Road  , Rawalpindi"
"Dr. Abdul Malik","Cardiologists","Peshawar",4,4.6,"03395-6607564","dr..abdul.malik135@diagnoai.com","Lady Reading Hospital                Flat No. C-1, Doctor's Colony, Peshawar.  Doctor's Colony , Peshawar"
"Dr Obaidur Rehman","Skin Specialists | Dermatologists","karachi",9,3.9,"03801-6207406","dr.obaidur.rehman502@diagnoai.com","National Medical Centre                A-5/A, National Highway, Near Kala Pul, Korangi Road, Karachi.    Korangi Road , karachi"
"Dr. Naseem Saeed","Dentist","Rawalpindi",23,4,"03775-1694045","dr..naseem.saeed315@diagnoai.com","Sara Dental Surgery, Clinic                70, Al-Mustafa Tower, Commercial Area, Scheme III, Rawalpindi.Mon to Sat 5pm to 9Pm+9251-5950211+9251-5500125+9251-5591159  Scheme III , Rawalpindi"
"Dr.MOAZZAM ALI","ENT Specialist","N/A",6,5,"03196-1364958","dr.moazzam.ali954@diagnoai.com","N/A"
"Dr Tahir Jamil","Skin Specialists | Dermatologists","Lahore",16,4.4,"03498-7437960","dr.tahir.jamil609@diagnoai.com","Cavalry Hospital                44-45 Cavalry Ground Ext, Lahore-Cantt.  Cavalry Ground  , Lahore"
"Dr. Imran Arshad","Dentist","Islamabad",12,4.6,"03843-5436441","dr..imran.arshad349@diagnoai.com","Moiz Dental Clinic                Shop # 4, Feroze Plaza, Khawaja Market, Street # 57, G-9/4, Islamabad.Mon to Sat 10 AM to 2 AM Mon to Sat 4 PM to 9 PM +92345-5897379+9251-2255739  G-9 , Islamabad"
"Dr Naveed Aslam","ENT Specialist","Lahore",11,4.3,"03960-4932831","dr.naveed.aslam808@diagnoai.com","Ammar Medical Complex                8-Haroon Shah Scheme, Main Jail Road, Lahore.  Main Jail Road , Lahore"
"Dr Khalid Hameed","Cardiologists","Lahore",13,4.1,"03860-9620387","dr.khalid.hameed954@diagnoai.com","Doctors Hospital & Medical Center                 152 A-G/1 Canal Bank, Lahore.  Johar Town , Lahore"
"Ms. Shifa Ali","Nutrition/Dietitian","Lahore",24,4,"03919-8298521","ms..shifa.ali626@diagnoai.com","Ittefaq Hospital                Near H- Block, Model Town, Lahore.  Model Town , Lahore"
"Dr. Imran Shahid","Dentist","Islamabad",6,4,"03742-2501076","dr..imran.shahid429@diagnoai.com","Optident Clinic                Shop # 05, 106 East. Asif Plaza, Fazal-ul-haq Road, Blue Area, Islamabad.   , Islamabad"
"Dr Abdul Jabbar","Diabetologists","karachi",3,4.6,"03704-3267828","dr.abdul.jabbar703@diagnoai.com","Aga khan university hospital                AKUH Consulting Clinic, Stadium Road.  Stadium Road , karachi"
